Dénomination,Voies d'admninistration,Autorisation,,
DERMESTRIL SEPTEM 50 microgrammes/24 heures,dispositif,transdermique,,
DERMESTRIL SEPTEM 75 microgrammes/24 heures,dispositif,transdermique,,
DERMO SULFURYL,pommade,cutanée,,
DERMO-6 1, solution pour application cutanée,solution pour application,,
DERMOBACTER,solution pour application,cutanée,,
DERMOCUIVRE,pommade,cutanée,,
DERMOFENAC DEMANGEAISONS 0, crème,crème,,
DERMOVAL 0, crème,crème,,
DERMOVAL,gel,cutanée,,
DEROXAT 20 mg,comprimé pelliculé sécable,orale,,
DEROXAT 20 mg/10 ml,suspension buvable,orale,,
DESFERAL 500 mg,poudre et  solvant pour solution injectable,intramusculaire/intrapéritonéale/intraveineuse/sous-cutanée,,
DESINTEX,comprimé enrobé,orale,,
DESLORATADINE ALMUS 5 mg,comprimé pelliculé,orale,,
DESLORATADINE ARROW 0, solution buvable,solution buvable,,
DESLORATADINE ARROW LAB 5 mg,comprimé pelliculé,orale,,
DESLORATADINE BIOGARAN 0, solution buvable,solution buvable,,
DESLORATADINE BIOGARAN 5 mg,comprimé pelliculé,orale,,
DESLORATADINE CRISTERS 5 mg,comprimé pelliculé,orale,,
DESLORATADINE EG 0, solution buvable,solution buvable,,
DESLORATADINE EG 5 mg,comprimé pelliculé,orale,,
DESLORATADINE EVOLUGEN 5 mg,comprimé pelliculé,orale,,
DESLORATADINE KRKA 5 mg,comprimé pelliculé,orale,,
DESLORATADINE SANDOZ 0, solution buvable,solution buvable,,
DESLORATADINE SANDOZ 5 mg,comprimé pelliculé,orale,,
DESLORATADINE SUN 5 mg,comprimé pelliculé,orale,,
DESLORATADINE TEVA SANTE 5 mg,comprimé pelliculé,orale,,
DESLORATADINE VIATRIS 0, solution buvable,solution buvable,,
DESLORATADINE VIATRIS 5 mg,comprimé pelliculé,orale,,
DESLORATADINE ZENTIVA 0, solution buvable,solution buvable,,
DESLORATADINE ZENTIVA 5 mg,comprimé pelliculé,orale,,
DESLORATADINE ZYDUS 5 mg,comprimé pelliculé,orale,,
DESOBEL 150 microgrammes/20 microgrammes,comprimé,orale,,
DESOBEL 150 microgrammes/30 microgrammes,comprimé,orale,,
DESOGESTREL BIOGARAN 75 microgrammes,comprimé pelliculé,orale,,
DESOGESTREL CRISTERS 75 microgrammes,comprimé pelliculé,orale,,
DESOGESTREL MYLAN PHARMA 75 microgrammes,comprimé,orale,,
DESOGESTREL SANDOZ 75 microgrammes,comprimé pelliculé,orale,,
DESOGESTREL/ETHINYLESTRADIOL BIOGARAN 150 microgrammes/20 microgrammes,comprimé enrobé,orale,,
DESOGESTREL/ETHINYLESTRADIOL BIOGARAN 150 microgrammes/30 microgrammes,comprimé enrobé,orale,,
DESOGESTREL/ETHINYLESTRADIOL BIOGARANCONTINU 150 microgrammes/30 microgrammes,comprimé pelliculé et  comprimé pelliculé pelliculé,orale,,
DESOGESTREL/ETHINYLESTRADIOL CRISTERS 150 microgrammes/20 microgrammes,comprimé pelliculé,orale,,
DESOGESTREL/ETHINYLESTRADIOL CRISTERS 150 microgrammes/30 microgrammes,comprimé pelliculé,orale,,
DESOGESTREL/ETHINYLESTRADIOL EG 150 microgrammes/20 microgrammes,comprimé,orale,,
DESOGESTREL/ETHINYLESTRADIOL EG 150 microgrammes/30 microgrammes,comprimé,orale,,
DESOGESTREL/ETHINYLESTRADIOL VIATRIS 150 microgrammes/20 microgrammes,comprimé,orale,,
DESOGESTREL/ETHINYLESTRADIOL VIATRIS 150 microgrammes/30 microgrammes,comprimé,orale,,
DESOMEDINE 0, collyre en solution,collyre en solution,,
DETENSIEL 10 mg,comprimé pelliculé sécable,orale,,
DETICENE 100 mg,poudre et  solvant pour solution pour perfusion,intraartérielle/intraveineuse,,
DETRUSITOL 2 mg,comprimé pelliculé,orale,,
DEXAFREE 1 mg/ml,collyre en solution,ophtalmique,,
DEXAMBUTOL 500 mg,comprimé pelliculé,orale,,
DEXAMETHASONE KALCEKS 4 mg/1 mL,solution injectable ou pour perfusion,infiltration/intraarticulaire/intramusculaire/intraveineuse/périarticulaire,,
DEXAMETHASONE KRKA 4 mg/ml,solution injectable ou pour perfusion,infiltration/intraarticulaire/intralésionnelle/intramusculaire/intraveineuse/sous-conjonctivale,,
DEXAMETHASONE MEDISOL 20 mg/5 ml,solution injectable,infiltration/intralésionnelle/intramusculaire/intraveineuse/périarticulaire,,
DEXAMETHASONE MEDISOL 4 mg/1 ml,solution injectable,infiltration/intralésionnelle/intramusculaire/intraveineuse/périarticulaire,,
DEXAMETHASONE PANPHARMA 20 mg/5 mL,solution injectable,infiltration/intraarticulaire/intrabursale/intramusculaire/intraveineuse/sous-conjonctivale,,
DEXAMETHASONE PANPHARMA 4 mg/mL,solution injectable,infiltration/intraarticulaire/intrabursale/intramusculaire/intraveineuse/sous-conjonctivale,,
DEXAMETHASONE VIATRIS 20 mg/5 ml,solution injectable,intralésionnelle/intramusculaire/intraveineuse/périarticulaire,,
DEXAMETHASONE VIATRIS 4 mg/1 ml,solution injectable,intralésionnelle/intramusculaire/intraveineuse/périarticulaire,,
DEXATOPIA,crème,cutanée,,
DEXLIQ 4 mg/mL,solution buvable,orale,,
DEXOCOL 1 mg/mL,collyre en solution,ophtalmique,,
DEXPANTHENOL ARROW CONSEIL 5 %,pommade,cutanée,,
DEXPANTHENOL BAILLEUL 5 %,pommade,cutanée,,
DEXPANTHENOL BIOGARAN CONSEIL 5 %,pommade,cutanée,,
DEXPANTHENOL EG LABO CONSEIL 5 %,pommade,cutanée,,
DEXPANTHENOL VIATRIS 5 %,pommade,cutanée,,
DEXPANTHENOL ZENTIVA CONSEIL 5 %,pommade,cutanée,,
DEXTRION G 10 LAVOISIER,solution injectable,intraveineuse,,
DEXTRION G 5 LAVOISIER,solution injectable,intraveineuse,,
DEXTROMETHORPHANE BIOGARAN 1, solution buvable édulcorée au maltitol liquide et à la saccharine sodique,solution buvable,,
DEXTROMETHORPHANE ELERTE 1, sirop,sirop,,
DI-HYDAN 100 mg,comprimé sécable,orale,,
DIABENE,solution buvable en gouttes,sublinguale,,
DIACEREINE BIOGARAN 50 mg,gélule,orale,,
DIACEREINE EG 50 mg,gélule,orale,,
DIACEREINE ZENTIVA 50 mg,gélule,orale,,
DIALYSE PERITONEALE CONTINUE AMBULATOIRE 2,solution pour dialyse péritonéale,intrapéritonéale,,
DIALYSE PERITONEALE CONTINUE AMBULATOIRE 3,solution pour dialyse péritonéale,intrapéritonéale,,
DIALYSE PERITONEALE CONTINUE AMBULATOIRE 4,solution pour dialyse péritonéale,intrapéritonéale,,
DIAMICRON 60 mg,comprimé sécable à libération modifiée,orale,,
DIAMOX 250 mg,comprimé sécable,orale,,
DIAMOX 500 mg,poudre et  solution pour préparation injectable,intramusculaire/intraveineuse,,
DIANE 35 microgrammes,comprimé enrobé,orale,,
DIAPHRAGME BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DIARALIA,comprimé,orale,,
DIARETYL 2 mg,gélule,orale,,
DIARFIX 100 mg,gélule,orale,,
DIASEPTYL 0, solution pour application cutanée,solution pour application,,
DIASTROLIB 2 mg,lyophilisat,orale,,
DIAZEPAM ARROW 10 mg,comprimé sécable,orale,,
DIAZEPAM RENAUDIN 10 mg/2 ml,solution injectable,intramusculaire/intraveineuse/rectale,,
DIAZEPAM TEVA 10 mg,comprimé,orale,,
DIAZEPAM TEVA 2 mg,comprimé,orale,,
DIAZEPAM TEVA 5 mg,comprimé,orale,,
DICETEL 100 mg,comprimé pelliculé,orale,,
DICETEL 50 mg,comprimé pelliculé,orale,,
DICLOFENAC ARROW 1 %,gel,cutanée,,
DICLOFENAC ARROW 50 mg,comprimé gastro-résistant(e),orale,,
DICLOFENAC ARROW CONSEIL 1 %,gel,cutanée,,
DICLOFENAC ARROW GENERIQUES 1 %,gel,cutanée,,
DICLOFENAC BGR 1 %,gel,cutanée,,
DICLOFENAC BIOGARAN 1 %,gel,cutanée,,
DICLOFENAC BIOGARAN LP 75 mg,comprimé enrobé à libération prolongée,orale,,
DICLOFENAC CHEMINEAU 1 %,gel,cutanée,,
DICLOFENAC CRISTERS 1 %,gel,cutanée,,
DICLOFENAC DELBERT 75 mg/3 mL,solution injectable,intramusculaire,,
DICLOFENAC EG 1 %,gel,cutanée,,
DICLOFENAC EG 50 mg,comprimé gastro-résistant(e),orale,,
DICLOFENAC EG LABO CONSEIL 1 %,gel,cutanée,,
DICLOFENAC REF 1 %,gel,cutanée,,
DICLOFENAC SANDOZ 1 %,gel,cutanée,,
DICLOFENAC SANDOZ 50 mg,comprimé enrobé gastro-résistant(e),orale,,
DICLOFENAC SANDOZ CONSEIL 1 %,gel,cutanée,,
DICLOFENAC TEVA 1 %,gel,cutanée,,
DICLOFENAC TEVA 25 mg,comprimé enrobé gastro-résistant(e),orale,,
DICLOFENAC TEVA 50 mg,comprimé enrobé gastro-résistant(e),orale,,
DICLOFENAC TEVA CLASSICS 1 %,gel,cutanée,,
DICLOFENAC TEVA CONSEIL 1 %,emplâtre médicamenteux(se),cutanée,,
DICLOFENAC TEVA SANTE CONSEIL 1 %,gel,cutanée,,
DICLOFENAC TEVA SANTE CONSEIL 2 %,gel,cutanée,,
DICLOFENAC URGO 1 %,gel,cutanée,,
DICLOFENAC URGO 140 mg,emplâtre médicamenteux(se),cutanée,,
DICLOFENAC VIATRIS 1 %,gel,cutanée,,
DICLOFENAC VIATRIS 50 mg,comprimé gastro-résistant(e),orale,,
DICLOFENAC VIATRIS LP 75 mg,comprimé enrobé à libération prolongée,orale,,
DICLOFENAC VIATRIS SANTE 1 %,gel,cutanée,,
DICLOFENAC ZENTIVA 1 %,gel,cutanée,,
DICLOFENAC ZYDUS 1 %,gel,cutanée,,
DICODIN L.P. 60 mg,comprimé à libération prolongée,orale,,
DICYNONE 250 mg,comprimé,orale,,
DICYNONE 250 mg/2 ml,solution injectable,cutanée/intramusculaire/intraveineuse/orale,,
DICYNONE 500 mg,comprimé,orale,,
DIENCEPHALE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DIERGOSPRAY 4 mg/ml,solution pour pulvérisation,nasale,,
DIFFERINE 0, crème,crème,,
DIFFU-K 600 mg,gélule,orale,,
DIFRAREL 100 mg,comprimé enrobé,orale,,
DIFRAREL E,comprimé enrobé,orale,,
DIGEDRYL,comprimé effervescent(e),orale,,
DIGESTODORON,solution buvable en gouttes,orale,,
DIGITALIS PURPUREA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DIGITALIS PURPUREA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DIGITALIS PURPUREA, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH,granules et  solution en gouttes en gouttes et  crème,,
DIGOXINE NATIVELLE 0, comprimé,comprimé,,
DIGOXINE NATIVELLE 5 microgrammes/0, solution buvable, en gouttes,,
DIGOXINE NATIVELLE ADULTES 0, solution injectable IV,solution injectable,,
DILATRANE 1 POUR CENT,sirop,orale,,
DILATRANE 100 mg,gélule à libération prolongée,orale,,
DILATRANE 200 mg,gélule à libération prolongée,orale,,
DILATRANE 300 mg,gélule à libération prolongée,orale,,
DILATRANE 50 mg,gélule à libération prolongée,orale,,
DILTIAZEM ARROW LP 200 mg,gélule à libération prolongée,orale,,
DILTIAZEM ARROW LP 300 mg,gélule à libération prolongée,orale,,
DILTIAZEM BGR LP 200 mg,gélule à libération prolongée,orale,,
DILTIAZEM BGR LP 300 mg,gélule à libération prolongée,orale,,
DILTIAZEM BIOGARAN 60 mg,comprimé,orale,,
DILTIAZEM BIOGARAN L.P. 120 mg,gélule à libération prolongée,orale,,
DILTIAZEM BIOGARAN L.P. 90 mg,gélule à libération prolongée,orale,,
DILTIAZEM SANDOZ LP 200 mg,gélule à libération prolongée,orale,,
DILTIAZEM SANDOZ LP 300 mg,gélule à libération prolongée,orale,,
DILTIAZEM TEVA 60 mg,comprimé,orale,,
DILTIAZEM TEVA L.P. 120 mg,gélule à libération prolongée,orale,,
DILTIAZEM TEVA L.P. 300 mg,gélule à libération prolongée,orale,,
DILTIAZEM TEVA L.P. 90 mg,gélule à libération prolongée,orale,,
DILTIAZEM TEVA SANTE LP 200 mg,gélule à libération prolongée,orale,,
DILTIAZEM TEVA SANTE LP 300 mg,gélule à libération prolongée,orale,,
DILTIAZEM VIATRIS L.P. 120 mg,gélule à libération prolongée,orale,,
DILTIAZEM VIATRIS L.P. 90 mg,gélule à libération prolongée,orale,,
DILTIAZEM VIATRIS LP 200 mg,gélule à libération prolongée,orale,,
DILTIAZEM VIATRIS LP 300 mg,gélule à libération prolongée,orale,,
DILTIAZEM ZENTIVA LAB LP 200 mg,gélule à libération prolongée,orale,,
DILTIAZEM ZENTIVA LAB LP 300 mg,gélule à libération prolongée,orale,,
DIMETRUM 2 mg,comprimé,orale,,
DIOPSIDE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DIOSCOREA VILLOSA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DIOSCOREA VILLOSA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DIOSMECTITE VIATRIS 3 g,poudre pour suspension buvable,orale,,
DIOSMINE ARROW 600 mg,comprimé pelliculé,orale,,
DIOSMINE BIOGARAN CONSEIL 600 mg,comprimé pelliculé,orale,,
DIOSMINE EG LABO CONSEIL 600 mg,comprimé pelliculé,orale,,
DIOSMINE SANDOZ CONSEIL 600 mg,comprimé pelliculé,orale,,
DIOSMINE VIATRIS CONSEIL 600 mg,comprimé,orale,,
DIOSMINE ZYDUS 600 mg,comprimé pelliculé,orale,,
DIOVENOR 600 mg,comprimé pelliculé,orale,,
DIPENTUM 250 mg,gélule,orale,,
DIPENTUM 500 mg,comprimé,orale,,
DIPEPTIVEN,solution à diluer pour perfusion,intraveineuse,,
DIPHTERICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DIPHTEROTOXINUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DIPIPERON 40 mg,comprimé sécable,orale,,
DIPIPERON 40 mg/ml,solution buvable gouttes,orale,,
DIPROLENE 0, pommade,pommade,,
DIPROSALIC,lotion,cutanée,,
DIPROSONE 0, crème,crème,,
DIPROSTENE,suspension injectable,endosinusale/intraarticulaire/intralésionnelle/intramusculaire/périarticulaire,,
DISCI CERVICALES BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DISCI LUMBALES BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DISCI THORACALES BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DISCOTRINE 10 mg/24 heures,dispositif,transdermique,,
DISCOTRINE 15 mg/24 heures,dispositif,transdermique,,
DISCOTRINE 5 mg/24 heures,dispositif,transdermique,,
DISQUES VERTEBRAUX BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DISQUES VERTEBRAUX WELEDA,granules et  solution en gouttes en gouttes et  crème,cutanée/orale/sublinguale,,
DISULONE,comprimé sécable,orale,,
DITROPAN 5 mg,comprimé sécable,orale,,
DIVALCOTE 250 mg,comprimé gastro-résistant(e),orale,,
DIVALCOTE 500 mg,comprimé gastro-résistant(e),orale,,
DIVARIUS 20 mg,comprimé pelliculé sécable,orale,,
DIVINA,comprimé et  comprimé,orale,,
DOCETAXEL ACCORD 160 mg/8 ml,solution à diluer pour perfusion,intraveineuse,,
DOCETAXEL ACCORD 20 mg/1 ml,solution à diluer pour perfusion,intraveineuse,,
DOCETAXEL ACCORD 80 mg/4 ml,solution à diluer pour perfusion,intraveineuse,,
DOCETAXEL ARROW 20 mg/mL,solution à diluer pour perfusion,intraveineuse,,
DOCETAXEL HOSPIRA 10 mg/ml,solution à diluer pour perfusion,intraveineuse,,
DOCETAXEL KABI 160 mg/8 ml,solution à diluer pour perfusion,intraveineuse,,
DOCETAXEL KABI 20 mg/1 ml,solution à diluer pour perfusion,intraveineuse,,
DOCETAXEL KABI 80 mg/4 ml,solution à diluer pour perfusion,intraveineuse,,
DOCETAXEL NORDIC 20 mg/ml,solution à diluer pour solution injectable pour perfusion,intraveineuse,,
DODECAVIT 0, solution injectable IM,solution injectable,,
DOGMATIL 0, solution buvable édulcorée au cyclamate de sodium,solution buvable,,
DOGMATIL 200 mg,comprimé sécable,orale,,
DOGMATIL 50 mg,gélule,orale,,
DOLICHOS PRURIENS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DOLICHOS PRURIENS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DOLIPRANE 100 mg,poudre pour solution buvable,orale,,
DOLIPRANE 1000 mg,comprimé,orale,,
DOLIPRANE 150 mg,poudre pour solution buvable,orale,,
DOLIPRANE 2, suspension buvable,suspension buvable,,
DOLIPRANE 200 mg,poudre pour solution buvable,orale,,
DOLIPRANE 300 mg,poudre pour solution buvable,orale,,
DOLIPRANE 500 mg,comprimé,orale,,
DOLIPRANE ADULTES 1000 mg,suppositoire,rectale,,
DOLIPRANELIQUIZ 1000 mg, au sucralose et à la néohespéridine DC,suspension buvable,,
DOLIPRANELIQUIZ 200 mg,suspension buvable,orale,,
DOLIPRANELIQUIZ 300 mg,suspension buvable,orale,,
DOLIPRANELIQUIZ 500 mg, au sucralose et à la néohespéridine DC,suspension buvable,,
DOLIPRANEORODOZ 500 mg,comprimé orodispersible,orale,,
DOLIPRANETABS 1000 mg,comprimé pelliculé,orale,,
DOLIPRANETABS 500 mg,comprimé pelliculé,orale,,
DOLIPRANEVITAMINEC 500 mg/150 mg,comprimé effervescent(e),orale,,
DOLIRHUME PARACETAMOL ET PSEUDOEPHEDRINE 500 mg/30 mg,comprimé,orale,,
DOLIRHUMEPRO PARACETAMOL, comprimé,comprimé et  comprimé,,
DOLKO 60 mg/2 ml,solution buvable,orale,,
DOLODENT,solution,gingivale,,
DOLOSOFT 450 mg,comprimé enrobé gastro-résistant(e),orale,,
DOLOSPASMYL 60 mg/300 mg,capsule molle,orale,,
DOMPERIDONE ALMUS 10 mg,comprimé pelliculé,orale,,
DOMPERIDONE ARROW 10 mg,comprimé orodispersible,orale,,
DOMPERIDONE BIOGARAN 10 mg,comprimé orodispersible,orale,,
DOMPERIDONE EG 10 mg,comprimé orodispersible,orale,,
DOMPERIDONE TEVA 10 mg,comprimé pelliculé,orale,,
DOMPERIDONE VIATRIS 10 mg,comprimé orodispersible,orale,,
DOMPERIDONE ZYDUS 10 mg,comprimé pelliculé,orale,,
DONASERT 52 mg (20 microgrammes/24 heures),dispositif,intra-utérine,,
DONORMYL 15 mg,comprimé effervescent(e) sécable,orale,,
DOPACEPTIN 10 mg /ml,solution injectable,sous-cutanée,,
DOPACEPTIN 5 mg/ml,solution pour perfusion,sous-cutanée,,
DOPAMINE BOIRON,granules,orale/sublinguale,,
DORMICALM,comprimé enrobé,orale,,
DORZOLAMIDE ARROW 2 %,collyre en solution,ophtalmique,,
DORZOLAMIDE BGR 20 mg/ml,collyre en solution,ophtalmique,,
DORZOLAMIDE CRISTERS 20 mg/ml,collyre en solution,ophtalmique,,
DORZOLAMIDE EG 20 mg/mL,collyre en solution,ophtalmique,,
DORZOLAMIDE VIATRIS 2 %,collyre en solution,ophtalmique,,
DORZOLAMIDE/TIMOLOL ARROW 20 mg/ml + 5 mg/ml,collyre en solution,ophtalmique,,
DORZOLAMIDE/TIMOLOL BGR 20 mg/mL + 5 mg/mL,collyre en solution,ophtalmique,,
DORZOLAMIDE/TIMOLOL CRISTERS 20 mg/mL + 5 mg/mL,collyre en solution,ophtalmique,,
DORZOLAMIDE/TIMOLOL EG 20 mg/ml + 5 mg/ml,collyre en solution,ophtalmique,,
DORZOLAMIDE/TIMOLOL VIATRIS 20 mg/ml + 5 mg/ml,collyre en solution,ophtalmique,,
DORZOLAMIDE/TIMOLOL ZENTIVA 20 mg/ml + 5 mg/ml,collyre en solution,ophtalmique,,
DOSISEPTINE 0, solution pour application cutanée en flacon pressurisé,solution pour application,,
DOSOXYGENEE 10 VOLUMES,solution pour application,cutanée,,
DOSTINEX 0, comprimé,comprimé,,
DOTAREM 0, solution injectable,solution injectable,,
DOXAZOSINE ARROW LP 8 mg,comprimé à libération prolongée,orale,,
DOXAZOSINE SUBSTIPHARM LP 4 mg,comprimé à libération prolongée,orale,,
DOXAZOSINE SUBSTIPHARM LP 8 mg,comprimé à libération prolongée,orale,,
DOXAZOSINE TEVA LP 4 mg,comprimé à libération prolongée,orale,,
DOXAZOSINE VIATRIS LP 4 mg,comprimé à libération prolongée,orale,,
DOXAZOSINE VIATRIS LP 8 mg,comprimé à libération prolongée,orale,,
DOXIUM 250 mg,comprimé,orale,,
DOXORUBICINE ACCORD 2 mg/ml,solution pour perfusion,intraveineuse,,
DOXORUBICINE ARROW 2 mg/ml,solution pour perfusion,intraveineuse,,
DOXORUBICINE TEVA 10 mg/5 ml,solution injectable,intraveineuse,,
DOXORUBICINE TEVA 200 mg/100 mL,solution injectable,intraveineuse,,
DOXORUBICINE TEVA 50 mg/25 mL,solution injectable,intraveineuse,,
DOXY 100 mg,comprimé pelliculé,orale,,
DOXY 50 mg,comprimé pelliculé,orale,,
DOXYCYCLINE ARROW 100 mg,comprimé pelliculé,orale,,
DOXYCYCLINE BIOGARAN 100 mg,comprimé pelliculé sécable,orale,,
DOXYCYCLINE SANDOZ 100 mg,comprimé sécable,orale,,
DOXYCYCLINE TEVA 100 mg,comprimé sécable,orale,,
DOXYCYCLINE VIATRIS 100 mg,comprimé sécable,orale,,
DOXYLAMINE ARROW CONSEIL 15 mg,comprimé pelliculé sécable,orale,,
DOXYLAMINE BIOGARAN CONSEIL 15 mg,comprimé pelliculé sécable,orale,,
DOXYLAMINE CRISTERS 15 mg,comprimé pelliculé sécable,orale,,
DOXYLAMINE EG LABO 15 mg,comprimé pelliculé sécable,orale,,
DOXYLAMINE KRKA 15 mg,comprimé pelliculé sécable,orale,,
DOXYLAMINE SANDOZ CONSEIL 15 mg,comprimé pelliculé sécable,orale,,
DOXYLAMINE TEVA CONSEIL 15 mg,comprimé pelliculé sécable,orale,,
